issueType,field,productId,graceSku,websiteSku,family,capacityMl,rawValue,canonicalValue,note
missing_image,imageUrl,BB-GB-100-0241,GB-EMP-CLR-100ML-RDC-SBLK-01,GBEmp100RdcrShnBlk,Empire,100,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-050-0029,GB-CIR-CLR-50ML-RDC-SBLK-01,GBCrcl50RdcrShnBlk,Circle,50,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-050-0143,GB-EMP-CLR-50ML-RDC-MSLV-01,GBEmp50RdcrMtSl,Empire,50,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-050-0067,GB-CIR-FRS-50ML-RDC-SBLK-01,GBCrclFrst50RdcrShnBlk,Circle,50,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-050-0146,GB-EMP-CLR-50ML-RDC-SBLK-01,GBEmp50RdcrShnBlk,Empire,50,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-060-0077,GB-DMD-CLR-60ML-RDC-MSLV-01,GBDmnd2ozRdcrMtSl,Diamond,60,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-060-0080,GB-DMD-CLR-60ML-RDC-SBLK-01,GBDmnd2ozRdcrShnBlk,Diamond,60,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-055-0023,GB-GRC-CLR-55ML-RDC-MSLV-01,GBGrce55RdcrMtSl,Grace,55,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-055-0026,GB-GRC-CLR-55ML-RDC-SBLK-01,GBGrce55RdcrShnBlk,Grace,55,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-128-0024,GB-RND-CLR-128ML-RDC-MSLV-01,GBRnd128RdcrMtSl,Round,128,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-128-0027,GB-RND-CLR-128ML-RDC-SBLK-01,GBRnd128RdcrShnBlk,Round,128,,,No primary or cap-off image URL is available.
